id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,hull_distance
5891230,80,2,-1.72075422512404,2,3.52,0.268719638579442,0.0078469999999999,49.2,0.353268177303506,5,
4960875,76,2,-1.65642063920588,2,7.68,0.283191991556316,0.0,48.4,0.439567378763199,4,
1804532,72,2,-1.66251058529798,2,2.88,0.262760287619724,0.0,47.0,0.366119213900118,9,
3250478,78,3,-2.05771056603701,1,1.28,0.202578196402434,0.0,64.4,0.570417368686181,2,
2081546,78,1,-2.10269714952129,1,2.72,0.178885438199983,0.0,68.0,0.541036774690033,2,
9546732,78,3,-2.07286901348452,1,2.24,0.185701388442046,0.0570819999999999,66.8,0.635704506188481,1,
9180765,78,3,-2.13190372465337,2,8.0,0.189097130479147,0.0,64.8,0.705593225748357,2,
8512390,78,1,-1.95891744602762,2,3.2,0.158331148245701,0.0574709999999999,68.8,0.528762225219544,3,
4693502,78,3,-1.95480853942957,2,1.76,0.192483463542617,0.0,65.6,0.604215235099434,1,
5831672,80,3,-2.07054551519587,1,3.04,0.23160277792655,0.0,64.8,2.00866617599105,2,
7483150,80,1,-2.11581270204653,1,3.68,0.224103641018935,0.0,68.4,1.17855996354116,2,
6807539,80,3,-2.08579851330834,1,3.36,0.225986928334126,0.057541,67.2,2.19583091393448,1,
2498173,80,3,-2.14520145290007,2,7.2,0.227010205999232,0.0,65.2,4.05997813520721,2,
5814072,73,3,-1.72049631113082,2,7.68,0.224959401996074,0.0,62.6,0.52699042429335,2,
4352098,84,3,-1.82801548087466,2,7.04,0.21943403815018,0.0,64.8,0.474026736087809,4,
4306815,81,3,-1.8525065610352,2,9.12,0.268231694971903,0.0,64.2,1.03338363304729,3,
6025847,83,3,-1.82968949053165,2,7.36,0.230129272900225,0.0,64.6,0.322589688283418,4,
6083594,88,3,-1.89065597613153,2,7.2,0.228970658178648,0.0,65.6,20460701.8057903,5,
5372069,72,3,-1.73726436531087,2,6.56,0.242402175575985,0.0,62.0,0.75660629387398,7,
3514269,74,3,-1.76126329961972,2,6.72,0.220290212623661,0.0,62.8,0.566707928139579,2,
3204167,79,3,-1.79857180950705,2,6.88,0.219920534778184,0.0,63.8,0.468844472683538,3,
2869347,75,3,-1.75538576037695,2,6.72,0.239789643170869,0.0,63.0,0.833332178756017,2,
1705239,78,3,-1.77844029891583,2,7.52,0.222425579695966,0.0,63.6,0.399204245660263,3,
7160483,80,3,-1.78953330256533,2,6.88,0.239789643170869,0.0,64.0,0.694403321193282,3,
9518642,76,3,-1.72262828336325,2,8.96,0.264913467479685,0.0,63.2,1.13989030917737,2,
1320567,72,3,-1.72896164648014,2,6.56,0.224167492537235,0.0,61.8,0.613157593055242,7,
4063285,84,3,-2.00930010099392,2,3.2,0.1909393200764,0.0,66.8,1.06104402751222,2,
9583261,81,3,-2.03621996592661,2,7.36,0.263665594855305,0.0,66.2,9.27912785576585,1,
3061874,83,3,-2.0111401224861,2,1.6,0.198506822748453,0.0,66.6,0.6520694800536,2,
8643509,88,3,-2.07815266529809,2,1.76,0.197513870931583,0.0085859999999999,67.6,17443613.2466272,3,
9267581,79,3,-1.97693649550395,2,3.04,0.191113474478257,0.0,65.8,0.855404221223361,1,
6315928,80,3,-1.96700163822248,2,3.04,0.228085323342676,0.0,66.0,2.04263359717002,1,
3741296,73,3,-1.73870350863117,2,0.48,0.218749796067152,0.0,60.6,0.357111979803265,3,
4328571,84,3,-1.84736050281901,2,3.68,0.209995949191285,0.0,62.8,0.319255351967337,5,
4935860,81,3,-1.87211076048001,2,7.84,0.266295389153379,0.0,62.2,0.535252489872349,4,
5062718,83,3,-1.84905222772725,2,0.64,0.219777902585687,0.0,62.6,0.225744137767845,5,
6135948,88,3,-1.91066389276578,2,0.8,0.218667330678684,0.0,63.6,15728082.658917,6,
1340285,72,3,-1.75564901118596,2,2.72,0.238398392326702,0.0,60.0,0.452961319271924,8,
9731406,74,3,-1.77990191484885,2,3.04,0.213107641729921,0.0,60.8,0.366028970809429,3,
9084235,79,3,-1.81760524302411,2,3.36,0.210390650027185,0.0,61.8,0.31941582248701,4,
4309715,75,3,-1.77396217639233,2,3.04,0.235519909704064,0.0,61.0,0.479389737186742,3,
2568307,78,3,-1.79726069019215,2,0.48,0.212563245345417,0.0,61.6,0.287086331089531,4,
1098653,80,3,-1.80847108584477,2,3.36,0.235519909704064,0.0,62.0,0.418403983504171,4,
2643098,76,3,-1.74085804251587,2,7.52,0.262753528539836,0.0,61.2,0.576831181484267,3,
6594182,72,3,-1.74725842861466,2,2.72,0.217817456702727,0.0,59.8,0.400145099393166,8,
5714096,76,3,-1.99313433360211,1,7.2,0.260995184744858,0.0,64.0,12.1308448063733,1,
4857263,76,1,-2.03670912277504,1,6.72,0.258645214868096,0.0,67.6,2.96830206174927,2,
5738926,76,3,-2.00781707011054,1,6.88,0.25904940591323,0.0,66.4,19.1619475048104,1,
7190582,76,3,-2.06499912070939,2,9.28,0.259334182314429,0.0,64.4,4.08316865003867,1,
2317805,76,1,-1.8854638477918,2,6.72,0.259094811964668,0.0,67.2,16.0958897272695,2,
1069425,76,2,-1.79390031073182,1,7.2,0.258469753691621,0.0,63.6,13.2011328535691,1,
9576032,76,1,-1.86524337345589,2,6.88,0.259094811964668,0.0,66.0,8.1265148781963,1,
7369148,76,1,-1.8974415949515,2,6.56,0.258843582110896,0.0,68.4,5.98114235849709,3,
5178439,76,3,-1.89346163637554,2,7.04,0.259672410290298,0.0,65.2,27.7726729378627,0,
5123968,76,3,-1.78086136275884,2,7.36,0.25904940591323,0.0,62.4,1.50964060536611,2,
1302765,84,3,-1.88981115186314,2,3.52,0.184561293402918,0.0,64.0,0.510545842433583,4,
3296450,81,3,-1.91513014773204,2,7.68,0.263192564548187,0.0,63.4,1.35812416529958,3,
9381746,83,3,-1.89154175105729,2,0.96,0.191249486918778,0.0,63.8,0.333856117899592,4,
5683192,88,3,-1.95456919561779,2,1.12,0.190303673560118,0.0,64.8,16577077.3464955,5,
2158347,72,3,-1.7959922143154,2,2.56,0.229617304492512,0.0,61.2,0.853738948997841,7,
3015264,74,3,-1.82080242744773,2,2.88,0.194942090256101,0.0,62.0,0.596918157166706,2,
6530821,79,3,-1.85937214350436,2,3.2,0.184648700679445,0.0,63.0,0.485473849797417,3,
8521307,75,3,-1.81472619925234,2,2.88,0.225986928334126,0.0,62.2,0.963523172757724,2,
9461730,78,3,-1.83856009151839,2,0.8,0.185701388442046,0.0,62.8,0.40357554309747,3,
6543129,80,3,-1.8500280917754,2,3.2,0.225986928334126,0.0,63.2,0.782734066204164,3,
7130825,72,3,-1.78740882385659,2,2.56,0.202199855056514,0.0,61.0,0.652091902702618,7,
6091584,73,2,-1.58402187368236,2,0.0,0.302273053096464,0.0,48.2,0.366533090124447,4,
5894621,84,2,-1.68301233103619,2,3.84,0.318672975713327,0.0,50.4,0.30258591654397,6,
3578406,81,2,-1.70556071224073,2,8.0,0.309338157101142,0.005228,49.8,0.4131945036771,5,
9317528,83,2,-1.68455355370331,2,0.64,0.3349241144117,0.0,50.2,0.22161479410212,6,
5762910,88,2,-1.74068401218031,2,0.96,0.333483220730307,0.0,51.2,15229912.2224041,7,
3280951,72,2,-1.59945984029028,2,2.88,0.302228149649038,0.0,47.6,0.399360031353119,9,
2045968,74,2,-1.62155511398796,2,3.2,0.304617729274255,0.0,48.4,0.351679630623515,4,
8317509,79,2,-1.65590421160223,2,3.52,0.319731337741697,0.0132789999999999,49.4,0.301185407882744,5,
5469827,75,2,-1.61614379711169,2,3.2,0.301851901522851,0.0,48.6,0.405257290814673,4,
6748193,78,1,-1.63736958707532,2,0.32,0.32428517299299,0.0141239999999999,49.2,0.292578279569224,5,
4807153,80,2,-1.64758266356491,2,3.52,0.301851901522851,0.0078469999999999,49.6,0.36265632648792,5,
9501276,76,2,-1.58598473209037,2,7.68,0.30816399964714,0.0,48.8,0.450254909028039,4,
7254913,72,2,-1.59181571565379,2,2.88,0.30251785287486,0.0,47.4,0.387886968573457,9,
7918026,72,3,-2.00046223109303,1,2.4,0.211706612085769,0.0,62.6,1.17862190126283,6,
3645207,72,1,-2.04419722601972,1,3.36,0.198687728150178,0.068101,66.2,0.858151618179169,5,
2941375,72,3,-2.01519894970704,1,3.04,0.202199855056514,0.0,65.0,1.18612157853535,5,
2645180,72,3,-2.07259123410601,2,6.88,0.204023067472066,0.0,63.0,1.62902283452229,6,
8597263,72,1,-1.89239588722664,2,3.36,0.188094099929128,0.0182279999999999,65.8,0.998403755420599,5,
4932856,72,2,-1.80049571043186,1,2.4,0.195372290231044,0.0,62.2,1.00827634430334,6,
2739650,72,3,-1.87210107090552,2,3.04,0.188094099929128,0.072324,64.6,1.12257282052224,5,
4165972,72,1,-1.90441767140977,2,3.68,0.189422220511447,0.0,67.0,0.914778371731651,5,
6138297,72,3,-1.90042308023832,2,2.72,0.205887700005735,0.0,63.8,1.12358921419053,5,
9084715,73,3,-1.63967546627314,2,0.48,0.253730382469685,0.0,61.0,0.291335904669035,3,
2845369,84,3,-1.74214388985678,2,3.68,0.259209876971558,0.0,63.2,0.253670588220008,5,
5170386,81,3,-1.76548449397313,2,7.84,0.280519703259021,0.0,62.6,0.361130091483894,4,
2514308,83,3,-1.74373926239382,2,0.64,0.272831172793036,0.0,63.0,0.188887966449883,5,
5267094,88,3,-1.80184182852912,2,0.8,0.271520914645437,0.0,64.0,16384124.0084095,6,
6278590,72,3,-1.65565583593641,2,2.72,0.262954625331178,0.0,60.4,0.337605391331273,8,
5187042,74,3,-1.67852741290426,2,3.04,0.252497249948616,0.0,61.2,0.288249899629647,3,
3786905,79,3,-1.71408334403279,2,3.36,0.259993958960147,0.0,62.2,0.259125522767356,4,
6342708,75,3,-1.67292597288019,2,3.04,0.261365561965106,0.0,61.4,0.345149477499318,3,
8613947,78,3,-1.69489751736064,2,0.48,0.263570544455797,0.0,62.0,0.242996042127966,4,
3612974,80,3,-1.70546942374236,2,3.36,0.261365561965106,0.0,62.4,0.310420378767427,4,
1694783,76,3,-1.6417072884524,2,7.52,0.278121511168405,0.0,61.6,0.389809268703694,3,
6271834,72,3,-1.64774313988352,2,2.72,0.253441304432607,0.0,60.2,0.316578184671233,8,
