id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
9450781,79,3,-2.1560363550478,2,7.2,0.187882263393752,0.0,65.0,1.04130589199063,2,0.35,92.3884,3.6,28,0.466666666666667,122.4,2.36,0.166666666666667,0.1584,5.2,0.0666666666666666,20,6,0.3,2.162,2.01,4,12.0,11.2,0.64,
9840216,73,3,-1.62478006942316,2,7.2,0.253730382469685,0.0,61.4,0.341126255755271,3,0.74,81.11670772,0.8,28,0.622222222222222,127.8,2.04,0.222222222222222,0.3056,6.2,0.0666666666666666,18,8,0.0888888888888888,1.658,1.3,5,9.0,13.12,1.44,
3821574,84,3,-1.72631763329385,2,6.72,0.259209876971558,0.0,63.6,0.300460046240876,5,0.88,90.70472,2.8,39,0.491228070175439,127.4,2.18,0.175438596491228,0.3776,5.8,0.087719298245614,18,8,0.245614035087719,1.772,1.3,3,11.4,14.88,1.76,
2361549,81,3,-1.74944620303622,2,8.8,0.280519703259021,0.0,63.0,0.452063797847005,4,1.03,117.1604,2.8,36,0.6,132.8,2.33,0.142857142857143,0.4016,6.0,0.0571428571428571,28,8,0.2,1.802,1.3,4,14.0,14.4,1.6,
3056417,83,3,-1.72789851289765,2,6.88,0.272831172793036,0.0,63.4,0.220702708597307,5,0.89,81.9151524,0.8,38,0.595744680851064,125.0,2.19,0.212765957446809,0.3792,5.8,0.106382978723404,18,8,0.0851063829787234,1.774,1.3,3,9.4,14.72,1.76,
5308146,88,3,-1.7854732545955,2,6.72,0.271520914645437,0.0,64.4,17710239.677437,6,1.28,82.1334,0.8,43,0.583333333333333,124.6,2.58,0.208333333333333,0.4416,5.6,0.125,18,8,0.0833333333333333,1.852,1.3,2,9.6,15.52,1.92,
1260374,72,3,-1.6406152677078,2,6.24,0.262954625331178,0.0,60.8,0.409224254507669,8,0.74,98.2026,2.8,27,0.518518518518518,132.4,2.04,0.185185185185185,0.2992,5.2,0.037037037037037,18,8,0.259259259259259,1.674,1.3,0,10.8,12.64,2.24,
8496023,74,3,-1.6632790711116,2,6.4,0.252497249948616,0.0,61.6,0.342975586253305,3,0.74,89.665,2.8,29,0.509090909090909,128.0,2.04,0.181818181818182,0.3184,6.2,0.0545454545454545,18,8,0.254545454545455,1.698,1.3,5,11.0,13.28,1.44,
6851203,79,3,-1.69851199947804,2,6.56,0.259993958960147,0.0,62.6,0.302303529599457,4,0.74,90.2484,2.8,34,0.5,127.6,2.04,0.178571428571428,0.3504,6.0,0.0714285714285714,18,8,0.25,1.738,1.3,4,11.2,14.08,1.6,
6283704,75,3,-1.65772851656688,2,6.4,0.261365561965106,0.0,61.8,0.420995330402342,3,0.74,98.684,2.8,30,0.509090909090909,132.0,2.04,0.181818181818182,0.3136,6.2,0.0545454545454545,18,8,0.254545454545455,1.692,1.3,5,11.0,13.44,1.44,
9425807,78,3,-1.67950046369946,2,7.04,0.263570544455797,0.0,62.4,0.280103863571402,4,0.74,81.3375,0.8,33,0.608695652173913,125.8,2.04,0.217391304347826,0.3328,6.0,0.0869565217391304,18,8,0.0869565217391304,1.716,1.3,4,9.2,13.92,1.6,
