id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,hull_distance
3514269,62.8,65,5.6,74,3.10155739835963,0,10,0.0,0.220290212623661,5,
3204167,63.8,65,5.6,79,3.11052994244192,0,10,0.0,0.219920534778184,5,
2869347,63.0,65,5.6,75,3.04070788522468,0,10,0.0,0.239789643170869,5,
1705239,63.6,65,5.6,78,3.15132944862996,0,3,0.0,0.222425579695966,5,
7160483,64.0,65,5.6,80,3.02111235659981,0,10,0.0,0.239789643170869,5,
9518642,63.2,65,8.4,76,3.01959216742056,0,10,0.0,0.264913467479686,5,
1320567,61.8,65,5.6,72,3.05178610001566,0,10,0.0,0.224167492537235,5,
4063285,66.8,65,0.0,84,3.02435749428063,0,10,0.0,0.1909393200764,5,
9583261,66.2,65,2.8,81,3.03703270366884,0,10,0.0,0.263665594855305,5,
3061874,66.6,65,0.0,83,2.98718745164788,0,5,0.0,0.198506822748453,5,
8643509,67.6,65,0.0,88,2.97674474604591,0,5,0.0085859999999999,0.197513870931583,5,
9267581,65.8,65,0.0,79,2.9991846056054,0,10,0.0,0.191113474478257,5,
6315928,66.0,65,0.0,80,3.00890893949842,0,10,0.0,0.228085323342676,5,
3741296,60.6,65,0.0,73,3.05310483649765,0,2,0.0,0.218749796067152,5,
4328571,62.8,65,0.0,84,3.11612437337534,0,10,0.0,0.209995949191285,5,
4935860,62.2,65,2.8,81,3.04690929691645,0,10,0.0,0.266295389153379,5,
5062718,62.6,65,0.0,83,3.09007746024155,0,2,0.0,0.219777902585687,5,
6135948,63.6,65,0.0,88,3.06326062318787,0,2,0.0,0.218667330678684,5,
1340285,60.0,65,0.0,72,3.0553004291131,0,10,0.0,0.238398392326702,5,
9731406,60.8,65,0.0,74,3.04558737228839,0,10,0.0,0.213107641729921,5,
9084235,61.8,65,0.0,79,3.03075917346377,0,10,0.0,0.210390650027185,5,
4309715,61.0,65,0.0,75,3.0778355101015,0,10,0.0,0.235519909704064,5,
2568307,61.6,65,0.0,78,3.01768487411264,0,2,0.0,0.212563245345417,5,
1098653,62.0,65,0.0,80,3.04407998169055,0,10,0.0,0.235519909704064,5,
